test
test 2
test 3
model: 1000, 0.5, 32 begin
Epoch 0: train loss 4.128164768218994, test loss 4.286553859710693, adv 0.018454075691411942, acc 0.046260917030567686
Epoch 1: train loss 4.318310737609863, test loss 4.2653398513793945, adv 0.010999417758369712, acc 0.04462336244541485
Epoch 2: train loss 4.224035263061523, test loss 4.161059379577637, adv -0.0033543668122270054, acc 0.07669213973799127
Epoch 3: train loss 3.9619388580322266, test loss 4.096399307250977, adv 0.007802765647743848, acc 0.07778384279475982
Epoch 4: train loss 3.9591224193573, test loss 4.100515842437744, adv -0.0003644104803493531, acc 0.08447052401746726
Epoch 5: train loss 3.9011707305908203, test loss 4.11793327331543, adv 0.012337117903930106, acc 0.07887554585152838
Epoch 6: train loss 3.9446568489074707, test loss 3.9789633750915527, adv -0.0013974526928675068, acc 0.09115720524017468
Epoch 7: train loss 3.9711673259735107, test loss 3.8801980018615723, adv -0.005527729257641889, acc 0.11026200873362445
Epoch 8: train loss 3.615318775177002, test loss 3.83194899559021, adv -0.0006961426491994271, acc 0.11804039301310043
Epoch 9: train loss 3.836808204650879, test loss 3.767967939376831, adv 0.004136826783115, acc 0.12622816593886463
Epoch 10: train loss 3.7811710834503174, test loss 3.6294915676116943, adv -0.00533304221251818, acc 0.1408296943231441
Epoch 11: train loss 3.362029552459717, test loss 3.561662197113037, adv 8.413391557499095e-05, acc 0.14847161572052403
Epoch 12: train loss 2.8223679065704346, test loss 3.440890312194824, adv 0.00629483260553132, acc 0.1739901746724891
Epoch 13: train loss 3.089130401611328, test loss 3.345451831817627, adv 0.0032722707423580855, acc 0.1857259825327511
Epoch 14: train loss 2.853128433227539, test loss 3.2369329929351807, adv 0.0038085880640465475, acc 0.20660480349344978
Epoch 15: train loss 2.8820748329162598, test loss 3.147636890411377, adv 0.004341775836972317, acc 0.22202510917030568
Epoch 16: train loss 3.0964620113372803, test loss 3.1484100818634033, adv 0.014511208151382848, acc 0.2400382096069869
Epoch 17: train loss 3.000678539276123, test loss 3.020500421524048, adv 0.010902620087336279, acc 0.2585971615720524
Epoch 18: train loss 2.7424607276916504, test loss 2.928075075149536, adv 0.011028457059679753, acc 0.27565502183406115
Epoch 19: train loss 2.986440896987915, test loss 2.908946990966797, adv 0.015371542940320171, acc 0.28561681222707425
model: 1000, 1, 32 begin
Epoch 0: train loss 4.457638740539551, test loss 4.4510393142700195, adv 0.019824818049490545, acc 0.046260917030567686
