test
test 2
test 3
model: 0, 2, 16 begin
Epoch 0: train loss 3.6549482345581055, test loss 2.637017011642456, adv 0.02578588064046583, acc 0.3646288209606987
Epoch 1: train loss 3.3671510219573975, test loss 2.3156559467315674, adv 0.02484192139737995, acc 0.42016921397379914
Epoch 2: train loss 1.978261947631836, test loss 2.107884645462036, adv 0.021781513828238785, acc 0.4740720524017467
Epoch 3: train loss 1.9218437671661377, test loss 2.037503719329834, adv 0.019064046579330474, acc 0.47502729257641924
Epoch 4: train loss 1.7577290534973145, test loss 2.0348315238952637, adv 0.018237117903930122, acc 0.47570960698689957
Epoch 5: train loss 1.1154656410217285, test loss 1.9440011978149414, adv 0.01981040756914121, acc 0.5015010917030568
Epoch 6: train loss 2.4232661724090576, test loss 1.8721355199813843, adv 0.03687132459970888, acc 0.5084606986899564
Epoch 7: train loss 1.3620529174804688, test loss 1.8766969442367554, adv 0.022690320232896743, acc 0.5010917030567685
Epoch 8: train loss 1.5326637029647827, test loss 1.8026738166809082, adv 0.03502816593886471, acc 0.5285207423580786
Epoch 9: train loss 1.5141271352767944, test loss 1.8089779615402222, adv 0.03457292576419213, acc 0.5219705240174672
Epoch 10: train loss 1.6933975219726562, test loss 1.764603614807129, adv 0.047772634643377, acc 0.5360262008733624
Epoch 11: train loss 1.1254726648330688, test loss 1.745665431022644, adv 0.03810247452692861, acc 0.5266102620087336
Epoch 12: train loss 2.596160888671875, test loss 1.6531046628952026, adv 0.04870014556040758, acc 0.5533569868995634
Epoch 13: train loss 1.0332212448120117, test loss 1.639587640762329, adv 0.04320676855895189, acc 0.5529475982532751
Epoch 14: train loss 1.4994783401489258, test loss 1.5943104028701782, adv 0.05305560407569143, acc 0.5691866812227074
Epoch 15: train loss 0.9057836532592773, test loss 1.568892478942871, adv 0.05008995633187774, acc 0.5715065502183406
Epoch 16: train loss 1.5367190837860107, test loss 1.5624606609344482, adv 0.06002569141193592, acc 0.5765556768558951
Epoch 17: train loss 1.3317703008651733, test loss 1.5173664093017578, adv 0.06541375545851535, acc 0.5856986899563319
Epoch 18: train loss 1.5516754388809204, test loss 1.5048551559448242, adv 0.07191972343522557, acc 0.5932041484716157
Epoch 19: train loss 1.2690277099609375, test loss 1.4915835857391357, adv 0.07488275109170306, acc 0.5941593886462883
model: 1, False, 16 begin
Epoch 0: train loss 4.430103302001953, test loss 4.30676794052124, adv -0.006843013100436668, acc 0.05335698689956332
Epoch 1: train loss 4.415267467498779, test loss 4.258082866668701, adv -0.0014070596797670643, acc 0.04789847161572052
Epoch 2: train loss 3.911153554916382, test loss 4.2319111824035645, adv 0.01169432314410479, acc 0.0625
Epoch 3: train loss 4.257711410522461, test loss 4.221508979797363, adv 0.003927802037845707, acc 0.06591157205240175
Epoch 4: train loss 4.4549241065979, test loss 4.18820858001709, adv -0.004797671033478834, acc 0.07218886462882096
Epoch 5: train loss 4.246248722076416, test loss 4.258086204528809, adv 0.012379621542940311, acc 0.04448689956331878
Epoch 6: train loss 4.446770191192627, test loss 4.192929744720459, adv -0.00016688500727801703, acc 0.06127183406113537
Epoch 7: train loss 3.634725332260132, test loss 4.170328140258789, adv 0.015592066957787476, acc 0.05922489082969432
Epoch 8: train loss 4.080895900726318, test loss 4.153466701507568, adv 0.011981804949053876, acc 0.0738264192139738
Epoch 9: train loss 4.57655143737793, test loss 4.549668312072754, adv -0.009361572052401734, acc 0.033706331877729256
Epoch 10: train loss 4.425737380981445, test loss 4.458648681640625, adv -0.0018845705967976412, acc 0.033706331877729256
Epoch 11: train loss 4.286532878875732, test loss 4.324151992797852, adv 0.007899563318777336, acc 0.046260917030567686
Epoch 12: train loss 4.610203742980957, test loss 4.3059587478637695, adv -0.0007954876273653655, acc 0.046260917030567686
Epoch 13: train loss 4.745058536529541, test loss 4.306394100189209, adv -0.0001689956331878406, acc 0.046260917030567686
Epoch 14: train loss 4.176344871520996, test loss 4.306852340698242, adv 0.008003202328966508, acc 0.046260917030567686
Epoch 15: train loss 4.355286598205566, test loss 4.307083606719971, adv -0.0008723435225618248, acc 0.046260917030567686
Epoch 16: train loss 4.228795051574707, test loss 4.307205677032471, adv 0.0040062590975255, acc 0.046260917030567686
Epoch 17: train loss 4.384950637817383, test loss 4.3066325187683105, adv -0.005131659388646348, acc 0.046260917030567686
Epoch 18: train loss 4.226098537445068, test loss 4.306699752807617, adv 0.005132823871906889, acc 0.046260917030567686
Epoch 19: train loss 3.7934279441833496, test loss 4.306746959686279, adv 0.018297452692867533, acc 0.046260917030567686
model: 1, 2, 16 begin
Epoch 0: train loss 4.774358749389648, test loss 5.032482147216797, adv 0.009154366812227033, acc 0.046260917030567686
Epoch 1: train loss 4.629697799682617, test loss 5.14240837097168, adv 0.00846710334788936, acc 0.046260917030567686
Epoch 2: train loss 4.61649227142334, test loss 5.14240837097168, adv 0.008235953420669573, acc 0.046260917030567686
Epoch 3: train loss 4.4971923828125, test loss 5.14240837097168, adv 0.013381004366812221, acc 0.046260917030567686
Epoch 4: train loss 5.622998237609863, test loss 5.14240837097168, adv 0.0053638282387190594, acc 0.046260917030567686
Epoch 5: train loss 5.557394027709961, test loss 5.14240837097168, adv 0.004234934497816645, acc 0.046260917030567686
Epoch 6: train loss 5.702104568481445, test loss 5.10533332824707, adv 0.006422780203784506, acc 0.046260917030567686
Epoch 7: train loss 5.016434192657471, test loss 5.10533332824707, adv 0.009988136826783123, acc 0.046260917030567686
Epoch 8: train loss 5.349364280700684, test loss 5.063567161560059, adv 0.004431368267831193, acc 0.046260917030567686
Epoch 9: train loss 5.023743629455566, test loss 5.0545654296875, adv 0.0105264919941776, acc 0.046260917030567686
Epoch 10: train loss 6.161022186279297, test loss 5.0545654296875, adv 0.016452620087336167, acc 0.046260917030567686
Epoch 11: train loss 5.165116310119629, test loss 5.120795726776123, adv 0.010468922852983953, acc 0.046260917030567686
Epoch 12: train loss 5.357583522796631, test loss 5.1265130043029785, adv 0.0070921397379912765, acc 0.046260917030567686
Epoch 13: train loss 4.899209976196289, test loss 5.1265130043029785, adv 0.010206259097525483, acc 0.046260917030567686
Epoch 14: train loss 5.326930999755859, test loss 5.1265130043029785, adv 0.0061578602620087075, acc 0.046260917030567686
Epoch 15: train loss 5.303879737854004, test loss 5.217050552368164, adv 0.008270815138282428, acc 0.046260917030567686
Epoch 16: train loss 5.578719139099121, test loss 5.217050552368164, adv 0.004942503639010165, acc 0.046260917030567686
Epoch 17: train loss 5.414107322692871, test loss 5.217050552368164, adv 0.006892285298398804, acc 0.046260917030567686
